requested_index,id,question,type,chapter,right,ta,options_text,option_a,option_b,option_c,option_d,option_e,option_f,option_g,imageurl,sohuimg,bestanswer
262,262,申请人因故不能按照预约时间参加考试时，应当提前一日申请取消预约。,1,1,1,1,"A:正确, B:错误",,,,,,,,,,申请人因故不能按照预约时间参加考试的，应当提前一日申请取消预约，所以选择正确《机动车驾驶证申领和使用规定》第四十六条 ：申请人因故不能按照预约时间参加考试的，应当提前一日申请取消预约对申请人未按照预约考试时间参加考试的，判定该次考试不合格
33798,33798,驾驶中型以上载客载货汽车在一般城市道路上行驶超过规定时速百分之五十以上的，一次记6分。,1,1,2,2,"A:正确, B:错误",正确,错误,,,,,,,,题干说一般道路，就是在高速公路、城市快速路以外的道路上行驶，超过时速50%，一次记9分。《道路交通安全违法行为记分管理办法》规定：驾驶中型以上载客载货汽车在一般道路上行驶超过规定时速百分之五十以上的，一次记9分。
263,263,机动车驾驶证遗失、损毁无法辨认时，机动车驾驶人应当向机动车驾驶证核发地车辆管理所申请补发。,1,1,1,1,"A:正确, B:错误",,,,,,,,,,机动车驾驶证遗失的，机动车驾驶人应当向机动车驾驶证核发地或者核发地以外的车辆管理所申请补发，所以选择正确。《机动车驾驶证申领和使用规定》第六十九条：机动车驾驶证遗失的，机动车驾驶人应当向机动车驾驶证核发地或者核发地以外的车辆管理所申请补发。
33543,33543,驾驶证电子版与纸质版具有同等效力。,1,1,1,1,"A:正确, B:错误",,,,,,,,,,《机动车驾驶证申领和使用规定》第六十一条：机动车驾驶证电子版与纸质版具有同等效力
264,264,有吸食、注射毒品后驾驶驾车行为的机动车驾驶人，不会被注销驾驶证。,1,1,2,2,"A:正确, B:错误",,,,,,,,,,有吸食、注射毒品后驾驶驾车行为的机动车驾驶人，将被车辆管理所注销其机动车驾驶证，题中说不会被注销，所以选择错误。《机动车驾驶证申领和使用规定》第七十九条：被查获有吸食、注射毒品后驾驶机动车行为，依法被责令社区戒毒、社区康复或者决定强制隔离戒毒，或者长期服用依赖性精神药品成瘾尚未戒除的的机动车驾驶人，车辆管理所应当注销其机动车驾驶证。
265,265,有执行社区戒毒、强制隔离戒毒、社区康复措施记录的，车辆管理所将注销其驾驶证。,1,1,1,1,"A:正确, B:错误",,,,,,,,,,依法被责令社区戒毒、社区康复或者决定强制隔离戒毒的机动车驾驶人，将被车辆管理所注销其机动车驾驶证，所以选择正确。《机动车驾驶证申领和使用规定》第七十九条：被查获有吸食、注射毒品后驾驶机动车行为，依法被责令社区戒毒、社区康复或者决定强制隔离戒毒，或者长期服用依赖性精神药品成瘾尚未戒除的的机动车驾驶人，车辆管理所应当注销其机动车驾驶证。
33545,33545,申请人隐瞒有关情况或者提供虚假材料申领机动车驾驶证的，会受到什么处罚？,2,1,1,1,"A:处五百元以下罚款，申请人在一年内不得再次申领机动车驾驶证, B:处五百元以上两千元以下罚款，申请人终身不得再次申领机动车驾驶证, C:处两千元以下罚款，申请人在一年内不得再次申领机动车驾驶证, D:申请人终身不得再次申领机动车驾驶证",处五百元以下罚款，申请人在一年内不得再次申领机动车驾驶证,处五百元以上两千元以下罚款，申请人终身不得再次申领机动车驾驶证,处两千元以下罚款，申请人在一年内不得再次申领机动车驾驶证,申请人终身不得再次申领机动车驾驶证,,,,,,隐瞒情况或提供虚假资料申领机动车驾驶证是违法的，会被处五百元以下罚款，申请人在一年内不得再次申领机动车驾驶证《机动车驾驶证申领和使用规定》第九十三条：申请人隐瞒有关情况或者提供虚假材料申领机动车驾驶证的，公安机关交通管理部门不予受理或者不予办理，处五百元以下罚款；申请人在一年内不得再次申领机动车驾驶证
33801,33801,驾驶载货汽车载物超过最大允许总质量百分之五十以上的，一次记12分。,1,1,2,2,"A:正确, B:错误",正确,错误,,,,,,,,驾驶载货汽车载物超过最大允许总质量50%以上的记6分。《道路交通安全违法行为记分管理办法》第十条：驾驶载货汽车载物超过最大允许总质量百分之五十以上的，一次记6分。
10,10,驾驶机动车应当随身携带哪种证件？,2,1,2,2,"A:工作证, B:驾驶证, C:身份证, D:职业资格证",工作证,驾驶证,身份证,职业资格证,,,,,,驾驶机动车时，应当随身携带驾驶证。《中华人民共和国道路交通安全法》第十九条：驾驶人应当按照驾驶证载明的准驾车型驾驶机动车；驾驶机动车时，应当随身携带机动车驾驶证。
266,266,机动车号牌灭失、丢失或者损毁的，机动车所有人应当向哪个部门申请补领、换领？,2,1,3,3,"A:住地交警支队车辆管理所, B:驾驶证核发地车辆管理所, C:登记地车辆管理所, D:当地公安局",住地交警支队车辆管理所,驾驶证核发地车辆管理所,登记地车辆管理所,当地公安局,,,,,,机动车号牌灭失、丢失或者损毁应当向登记地车辆管理所申请补领、换领，所以选登记地车辆管理所。《机动车登记规定》第五十一条：机动车号牌灭失、丢失或者损毁的，机动车所有人应当向登记地车辆管理所申请补领、换领。申请时，机动车所有人应当确认申请信息并提交身份证明。
267,267,机动车号牌灭失、丢失或者损毁的，机动车所有人应当向居住地车辆管理所申请补领、换领。,1,1,2,2,"A:正确, B:错误",,,,,,,,,,机动车号牌灭失、丢失或者损毁应当向登记地车辆管理所申请补领、换领，而不是居住地，所以选择错误。《机动车登记规定》第五十一条：机动车号牌灭失、丢失或者损毁的，机动车所有人应当向登记地车辆管理所申请补领、换领。申请时，机动车所有人应当确认申请信息并提交身份证明。
268,268,机动车购买后尚未注册登记，需要临时上道路行驶的，可以凭什么临时上道路行驶？,2,1,2,2,"A:合法来源凭证, B:临时行驶车号牌, C:借用的机动车号牌, D:法人单位证明",合法来源凭证,临时行驶车号牌,借用的机动车号牌,法人单位证明,,,,,,机动车购买后尚未注册登记，需要临时上道路行驶的，应安装临时号牌，所以选择临时行驶车号牌。《中华人民共和国道路交通安全法》第八条：尚未登记的机动车，需要临时上道路行驶的，应当取得临时通行牌证。
13,13,在实习期内驾驶机动车的，应当在车身后部粘贴或者悬挂哪种标志？,2,1,3,3,"A:注意新手标志, B:注意避让标志, C:统一式样的实习标志, D:注意车距标志",注意新手标志,注意避让标志,统一式样的实习标志,注意车距标志,,,,,,实习期内驾驶机动车的，应当在车身后部粘贴或者悬挂统一式样的实习标志。《中华人民共和国道路交通安全法实施条例》第二十二条：在实习期内驾驶机动车的，应当在车身后部粘贴或者悬挂统一式样的实习标志。
269,269,申请人以欺骗、贿赂等不正当手段取得机动车驾驶证的（被撤销的），申请人在多长时间内不得再次申领机动车驾驶证？,2,1,4,4,"A:6个月, B:1年, C:2年, D:3年",6个月,1年,2年,3年,,,,,,申请人以欺骗、贿赂等不正当手段取得机动车驾驶证的，3年内，不得再次申领机动车驾驶证，所以选择3年。《机动车驾驶证申领和使用规定》第九十三条：申请人以欺骗、贿赂等不正当手段取得机动车驾驶证的，公安机关交通管理部门收缴机动车驾驶证，撤销机动车驾驶许可，处二千元以下罚款；申请人在三年内不得再次申领机动车驾驶证。
27149,27149,驾车在城市快速路上违法占用应急车道行驶的，一次记（）分。,2,1,4,4,"A:12, B:3, C:9, D:6",12,3,9,6,,,,,,《道路交通安全违法行为记分管理办法》第十条：驾驶机动车在高速公路或者城市快速路上违法占用应急车道行驶的，一次记6分
33805,33805,机动车驾驶人同时被处以暂扣机动车驾驶证的，经满分学习、考试合格且罚款已缴纳的，记分予以清除，在暂扣期限届满后发还机动车驾驶证。,1,1,1,1,"A:正确, B:错误",正确,错误,,,,,,,,本题考点为满分学习相关内容《道路交通安全违法行为记分管理办法》第二十三条：机动车驾驶人经满分学习、考试合格且罚款已缴纳的，记分予以清除，发还机动车驾驶证机动车驾驶人同时被处以暂扣机动车驾驶证的，在暂扣期限届满后发还机动车驾驶证
14,14,以欺骗、贿赂等不正当手段取得驾驶证被依法撤销驾驶许可的，（）不得重新申请驾驶许可？,2,1,1,1,"A:3年内, B:5年内, C:1年内, D:终生",3年内,5年内,1年内,终生,,,,,,以欺骗、贿赂等不正当手段取得机动车登记或者驾驶许可的，3年内不得重新申请驾驶许可《机动车驾驶证申领和使用规定》第九十三条：申请人以欺骗、贿赂等不正当手段取得机动车驾驶证的，公安机关交通管理部门收缴机动车驾驶证，撤销机动车驾驶许可，处二千元以下罚款；申请人在三年内不得再次申领机动车驾驶证
270,270,申请人在考试过程中有贿赂、舞弊行为的，取消考试资格，已经通过考试的其他科目成绩无效。,1,1,1,1,"A:正确, B:错误",,,,,,,,,,申请人在考试过程中有贿赂、舞弊行为的，取消考试资格，已经通过考试的其他科目成绩无效，所以选择正确。《机动车驾驶证申领和使用规定》第九十三条：申请人在考试过程中有贿赂、舞弊行为的，取消考试资格，已经通过考试的其他科目成绩无效，公安机关交通管理部门处二千元以下罚款；申请人在一年内不得再次申领机动车驾驶证。
33550,33550,驾驶机动车在高速公路或者城市快速路上不按规定车道行驶的，一次记3分。,1,1,1,1,"A:正确, B:错误",,,,,,,,,,《道路交通安全违法行为记分管理办法》第十一条：驾驶机动车在高速公路或者城市快速路上不按规定车道行驶的，一次记3分。
15,15,驾驶人要按照驾驶证载明的准驾车型驾驶车辆。,1,1,1,1,"A:正确, B:错误",,,,,,,,,,驾驶人要按照驾驶证载明的准驾车型驾驶车辆，与准驾车型不符的机动车不得驾驶，所以选择正确。《中华人民共和国道路交通安全法》第十九条：驾驶人应当按照驾驶证载明的准驾车型驾驶机动车。
33807,33807,驾驶校车、中型以上载客载货汽车、危险品运输车辆在高速公路、城市快速路以外的道路上行驶超过规定时速百分之五十以上的，一次记9分。,1,1,1,1,"A:正确, B:错误",正确,错误,,,,,,,,题干中有关键词以外，高速公路、城市快速路以外的道路就是普通道路。《道路交通安全违法行为记分管理办法》规定：驾驶校车、中型以上载客载货汽车、危险物品运输车辆在高速公路、城市快速路以外的道路上行驶超过规定时速百分之五十以上的，一次记9分。
33809,33809,驾驶校车在高速公路、城市快速路以外的道路上行驶超过规定时速百分之十以上未达到百分之二十的，一次记1分。,1,1,1,1,"A:正确, B:错误",正确,错误,,,,,,,,题干中有关键词以外，高速公路、城市快速路以外的道路就是普通道路。《道路交通安全违法行为记分管理办法》规定：驾驶校车在高速公路、城市快速路以外的道路上行驶超过规定时速百分之十以上未达到百分之二十的，一次记1分。
21,21,驾驶报废机动车上路行驶的驾驶人，除按规定罚款外，还要受到哪种处理？,2,1,4,4,"A:撤销驾驶许可, B:收缴驾驶证, C:强制恢复车况, D:吊销驾驶证",撤销驾驶许可,收缴驾驶证,强制恢复车况,吊销驾驶证,,,,,,本题考点为驾驶拼装、报废车《道路交通安全法》第一百条：驾驶拼装的机动车或者已达到报废标准的机动车上道路行驶的，公安机关交通管理部门应当予以收缴，强制报废对驾驶前款所列机动车上道路行驶的驾驶人，处二百元以上二千元以下罚款，并吊销机动车驾驶证
7701,7701,补领驾驶证后，（）。,2,1,2,2,"A:原驾驶证继续使用, B:原驾驶证作废，不得继续使用, C:原驾驶证特殊情况下使用, D:替换使用",原驾驶证继续使用,原驾驶证作废，不得继续使用,原驾驶证特殊情况下使用,替换使用,,,,,,补领新驾驶证后，原驾驶证作废不得使用，所以选择原驾驶证作废，不得继续使用《机动车驾驶证申领和使用规定》第六十九条：机动车驾驶人补领机动车驾驶证后，原机动车驾驶证作废，不得继续使用
22,22,对驾驶已达到报废标准的机动车上路行驶的驾驶人，会受到下列哪种处罚？,2,1,2,2,"A:处15日以下拘留, B:吊销机动车驾驶证, C:处20以上200元以下罚款, D:追究刑事责任",处15日以下拘留,吊销机动车驾驶证,处20以上200元以下罚款,追究刑事责任,,,,,,本题考点为驾驶拼装、报废车《道路交通安全法》第一百条：驾驶拼装的机动车或者已达到报废标准的机动车上道路行驶的，公安机关交通管理部门应当予以收缴，强制报废对驾驶前款所列机动车上道路行驶的驾驶人，处二百元以上二千元以下罚款，并吊销机动车驾驶证
7702,7702,机动车驾驶人补领机动车驾驶证后，原机动车驾驶证作废。,1,1,1,1,"A:正确, B:错误",,,,,,,,,,补领新驾驶证后，原驾驶证作废不得使用，所以选择正确。《机动车驾驶证申领和使用规定》第六十九条：机动车驾驶人补领机动车驾驶证后，原机动车驾驶证作废，不得继续使用。
7703,7703,超过机动车驾驶证有效期一年以上未换证被注销，但未超过2年的，机动车驾驶人应当如何恢复驾驶资格？,2,1,1,1,"A:参加道路交通安全法律、法规和相关知识考试合格后, B:参加场地考试合格后, C:参加道路驾驶技能考试合格后, D:参加安全文明驾驶常识考试合格后",参加道路交通安全法律、法规和相关知识考试合格后,参加场地考试合格后,参加道路驾驶技能考试合格后,参加安全文明驾驶常识考试合格后,,,,,,驾驶证超过有效期一年以上未换证的，但未超过2年的，机动车驾驶人参加道路交通安全法律、法规和相关知识考试合格后，可以恢复驾驶资格，所以选择正确《机动车驾驶证申领和使用规定》第七十九条：机动车驾驶人超过机动车驾驶证有效期一年以上未换证的，车辆管理所应当注销其机动车驾驶证；被注销机动车驾驶证未超过二年的，机动车驾驶人参加道路交通安全法律、法规和相关知识考试合格后，可以恢复驾驶资格
27159,27159,机动车驾驶人在实习期内驾驶机动车不得上高速公路行驶。,1,1,2,2,"A:正确, B:错误",正确,错误,,,,,,,,机动车驾驶人在实习期内只是不能单独上高速公路行驶，“不得上高速公路行驶”是错的。在由持有相同驾驶证，或包含其准驾车型驾驶证，三年以上的驾驶人陪同时，是可以上高速的。
24,24,驾驶机动车上路前应当检查车辆安全技术性能。,1,1,1,1,"A:正确, B:错误",,,,,,,,,,驾驶机动车上路前，应当检查车辆安全技术性能，不得驾驶具有安全隐患的机动车上路，所以选择正确。《中华人民共和国道路交通安全法》第二十一条：驾驶人驾驶机动车上道路行驶前，应当对机动车的安全技术性能进行认真检查；不得驾驶安全设施不全或者机件不符合技术标准等具有安全隐患的机动车。
7704,7704,已注册登记的机动车达到国家规定的强制报废标准的，应当向登记地车辆管理所申请注销登记。,1,1,1,1,"A:正确, B:错误",,,,,,,,,,机动车已达到国家强制报废标准的，机动车所有人应当向登记地车辆管理所申请注销登记，所以选择正确。《机动车登记规定》第三十七条：机动车已达到国家强制报废标准的，机动车所有人应当向登记地车辆管理所申请注销登记。
25,25,不得驾驶具有安全隐患的机动车上道路行驶。,1,1,1,1,"A:正确, B:错误",,,,,,,,,,驾驶机动车上路前，应当检查车辆安全技术性能，不得驾驶具有安全隐患的机动车上路，所以选择正确。《中华人民共和国道路交通安全法》第二十一条：驾驶人驾驶机动车上道路行驶前，应当对机动车的安全技术性能进行认真检查；不得驾驶安全设施不全或者机件不符合技术标准等具有安全隐患的机动车。
7705,7705,存在以下哪种行为的申请人在一年内不得再次申领机动车驾驶证？,2,1,2,2,"A:在考试过程中出现身体不适, B:在考试过程中有舞弊行为, C:不能按照教学大纲认真练习驾驶技能, D:未参加理论培训",在考试过程中出现身体不适,在考试过程中有舞弊行为,不能按照教学大纲认真练习驾驶技能,未参加理论培训,,,,,,申请人在考试过程中有贿赂、舞弊行为的，取消考试资格，已经通过考试的其他科目成绩无效，公安机关交通管理部门处二千元以下罚款；申请人在一年内不得再次申领机动车驾驶证，其他选项的行为没有严重到限制申领机动车驾驶证，所以选择在考试过程中有舞弊行为。《机动车驾驶证申领和使用规定》第九十三条：申请人在考试过程中有贿赂、舞弊行为的，取消考试资格，已经通过考试的其他科目成绩无效，公安机关交通管理部门处二千元以下罚款；申请人在一年内不得再次申领机动车驾驶证。
26,26,拼装的机动车只要认为安全就可以上路行驶。,1,1,2,2,"A:正确, B:错误",,,,,,,,,,拼装车未进行安全技术检测，有安全隐患，不能上路行驶，所以选择错误。《中华人民共和国道路交通安全法》第一百条：驾驶拼装的机动车或者已达到报废标准的机动车上道路行驶的，公安机关交通管理部门应当予以收缴，强制报废。
33562,33562,申请人以欺骗、贿赂等不正当手段取得机动车驾驶证的，会受到什么处罚？,2,1,4,4,"A:处五百元以下罚款，申请人在三年内不得再次申领机动车驾驶证, B:处五百元以下罚款, C:申请人在一年内不得再次申领机动车驾驶证, D:处两千元以下罚款，申请人在三年内不得再次申领机动车驾驶证",处五百元以下罚款，申请人在三年内不得再次申领机动车驾驶证,处五百元以下罚款,申请人在一年内不得再次申领机动车驾驶证,处两千元以下罚款，申请人在三年内不得再次申领机动车驾驶证,,,,,,以欺骗、贿赂等手段取得驾驶证是违法行为。会被收缴驾驶证，罚款二千元，三年内不得再次申领。《机动车驾驶证申领和使用规定》第九十三条：申请人以欺骗、贿赂等不正当手段取得机动车驾驶证的，公安机关交通管理部门收缴机动车驾驶证，撤销机动车驾驶许可，处二千元以下罚款；申请人在三年内不得再次申领机动车驾驶证。
27,27,已经达到报废标准的机动车经大修后可以上路行驶。,1,1,2,2,"A:正确, B:错误",,,,,,,,,,已达到报废标准的机动车，有安全隐患，不得上路行驶，应强制报废。《中华人民共和国道路交通安全法》第一百条：驾驶拼装的机动车或者已达到报废标准的机动车上道路行驶的，公安机关交通管理部门应当予以收缴，强制报废。
7707,7707,持有大型客车、重型牵引挂车、城市公交车、中型客车、大型货车驾驶证的驾驶人，记分周期内有记分的，应当在记分周期结束后三十日内到公安机关交通管理部门接受审验，同时还应当申报身体条件情况。,1,1,1,1,"A:正确, B:错误",,,,,,,,,,持有大型客车、重型牵引挂车、城市公交车、中型客车、大型货车驾驶证的驾驶人，记分周期内有记分的，应当在每个记分周期结束后三十日内到公安机关交通管理部门接受审验，提交身体条件证明，所以选择正确。《机动车驾驶证申领和使用规定》第七十二条：持有大型客车、重型牵引挂车、城市公交车、中型客车、大型货车驾驶证的驾驶人，应当在每个记分周期结束后三十日内到公安机关交通管理部门接受审验。但在一个记分周期内没有记分记录的，免予本记分周期审验。机动车驾驶人可以在机动车驾驶证核发地或者核发地以外的地方参加审验、提交身体条件证明。
28,28,下列哪种证件是驾驶机动车上路行驶应当随车携带？,2,1,3,3,"A:机动车登记证, B:机动车保险单, C:机动车行驶证, D:出厂合格证明",机动车登记证,机动车保险单,机动车行驶证,出厂合格证明,,,,,,驾驶机动车上路行驶，应当随车携带机动车行驶证、驾驶证。《中华人民共和国道路交通安全法》第十一条：驾驶机动车上道路行驶，应当悬挂机动车号牌，放置检验合格标志、保险标志，并随车携带机动车行驶证。
224028,224028,在学习驾驶证明的有效期内，可以预约6次科目三道路驾驶技能考试。,1,1,2,2,"A:正确, B:错误",正确,错误,,,,,,,,科目三可预约考试的次数分别不得超过5次，第五次考试仍不合格的，已考试合格的其他科目成绩作废《机动车驾驶证申领和使用规定》第四十七条：在学习驾驶证明有效期内，科目二和科目三道路驾驶技能考试预约考试的次数分别不得超过五次第五次考试仍不合格的，已考试合格的其他科目成绩作废
33564,33564,驾驶未悬挂机动车号牌的机动车上道路行驶的，一次记12分。,1,1,2,2,"A:正确, B:错误",,,,,,,,,,未悬挂号牌或者遮挡、污损号牌，记9分机动车号牌使用的是伪造、变造的，记12分；未按规定安装机动车号牌，记3分题中说的是未挂号牌，应记9分《道路交通安全违法行为记分管理办法》规定：驾驶未悬挂机动车号牌的机动车上路行驶，一次记9分所以本题选择错误
13597,13597,驾驶达到报废标准的机动车上道路行驶的，公安交通管理部门将会予以收缴。以下说法错误的是什么？,2,1,4,4,"A:驾驶报废车影响驾驶人行车安全, B:报废车机械老化、容易发生交通事故, C:车辆不符合安全技术标准，需要强制报废, D:不美观，影响城市形象",驾驶报废车影响驾驶人行车安全,报废车机械老化、容易发生交通事故,车辆不符合安全技术标准，需要强制报废,不美观，影响城市形象,,,,,,由于报废车机械老化，极其不符合安全技术标准，因此很容易发生交通事故并影响驾驶人行车安全，需要强制报废。与是否影响城市形象无关。本题选择错误的说法，所以选择“不美观，影响城市形象”。
33565,33565,驾驶机动车不按交通信号灯指示通行的，一次记3分。,1,1,2,2,"A:正确, B:错误",,,,,,,,,,不按交通信号灯指示通行，记6分。《道路交通安全违法行为记分管理办法》第十条：驾驶机动车不按交通信号灯指示通行的，一次记6分。
30,30,下列哪种标志是驾驶机动车上路行驶应当在车上放置的标志？,2,1,4,4,"A:产品合格标志, B:保持车距标志, C:提醒危险标志, D:检验合格标志",产品合格标志,保持车距标志,提醒危险标志,检验合格标志,,,,,,驾驶机动车上道路行驶，应当在车上放置检验合格标志，并携带机动车行驶证、驾驶证。《中华人民共和国道路交通安全法》第十一条：驾驶机动车上道路行驶，应当悬挂机动车号牌，放置检验合格标志、保险标志，并随车携带机动车行驶证。
224030,224030,持有C2驾驶证可以驾驶三轮汽车。,1,1,2,2,"A:正确, B:错误",正确,错误,,,,,,,,本题考点为准驾车型相关内容持有C2驾驶证可以驾驶自动挡汽车，不可以驾驶三轮汽车
27168,27168,驾驶人将机动车交给驾驶证被吊销的人驾驶的，交通警察可以依法吊销驾驶证。,1,1,1,1,"A:正确, B:错误",正确,错误,,,,,,,,驾驶证被吊销的人属于无证人员，将机动车交给无证人员驾驶的将被处以二百元以上二千元以下罚款，可以并处吊销驾驶证。《道路交通安全法》第九十九条：将机动车交由未取得机动车驾驶证或者机动车驾驶证被吊销、暂扣的人驾驶的，由公安机关交通管理部门处二百元以上二千元以下罚款，可以并处吊销机动车驾驶证。
33,33,驾驶机动车上路行驶应当按规定悬挂号牌。,1,1,1,1,"A:正确, B:错误",,,,,,,,,,驾驶机动车上路行驶应按规定悬挂号牌，所以选择正确《中华人民共和国道路交通安全法》第十一条：驾驶机动车上道路行驶，应当悬挂机动车号牌，放置检验合格标志、保险标志，并随车携带机动车行驶证
37,37,公安交通管理部门对驾驶人的交通违法行为除依法给予行政处罚外，实行下列哪种制度？,2,1,3,3,"A:违法登记制度, B:奖励里程制度, C:累积记分制度, D:强制报废制度",违法登记制度,奖励里程制度,累积记分制度,强制报废制度,,,,,,驾驶人的交通违法行为，在一个周期内累积记分，所以选择累积记分制度。《中华人民共和国道路交通安全法》第二十四条：公安机关交通管理部门对机动车驾驶人违反道路交通安全法律、法规的行为，除依法给予行政处罚外，实行累积记分制度。
7718,7718,有下列哪种行为，3年内不得再次申领机动车驾驶证？,2,1,3,3,"A:实习期记满12分，注销驾驶证的, B:申请人在考试过程中有舞弊行为的, C:申请人以欺骗、贿赂等不正当手段取得机动车驾驶证的, D:申请人未能在培训过程中认真练习的",实习期记满12分，注销驾驶证的,申请人在考试过程中有舞弊行为的,申请人以欺骗、贿赂等不正当手段取得机动车驾驶证的,申请人未能在培训过程中认真练习的,,,,,,申请人以欺骗、贿赂等不正当手段取得机动车驾驶证的，在三年内不得再次申领机动车驾驶证《机动车驾驶证申领和使用规定》第九十三条：申请人以欺骗、贿赂等不正当手段取得机动车驾驶证的，公安机关交通管理部门收缴机动车驾驶证，撤销机动车驾驶许可，处二千元以下罚款；申请人在三年内不得再次申领机动车驾驶证选项解释申请人在考试过程中有舞弊行为的，一年内不得再次申领机动车驾驶证
39,39,公安机关交通管理部门对累积记分达到规定分值的驾驶人怎样处理？,2,1,4,4,"A:依法追究刑事责任, B:处15日以下拘留, C:终生禁驾, D:进行法律法规教育，重新考试",依法追究刑事责任,处15日以下拘留,终生禁驾,进行法律法规教育，重新考试,,,,,,驾驶人累积记分达到规定分值后，要进行法律法规教育、重新考试，并且累积记分达到的分值不同，考试内容不同。《中华人民共和国道路交通安全法》第二十四条：公安机关交通管理部门对累积记分达到规定分值的机动车驾驶人，扣留机动车驾驶证，对其进行道路交通安全法律、法规教育，重新考试。
